Material,Accepted,Alternative Recycling Outlet,Action,Address,Phone,Website,Please Note
aerosol cans,Yes,,,,,,the cans must be empty.
aluminum,Yes,,,,,,"accepted aluminum are cans,clean tin foil, pie tins."
household appliances,No,Salvation Army Recycling Information Center,drop off,,1 (800) 937-1226,"www.salvationarmy.com, www.aham.org",only working appliances are accepted. Please call the Recycling Information Center for nearby metal recycling facilities that accept appliances.
plastic baby bottles,No,Goodwill or Salvation Army,drop off,,,"www.goodwill.com, www.salvationarmy.com",
glass baby bottles,No,Goodwill or Salvation Army,drop off,,,"www.goodwill.com, www.salvationarmy.com",
alkaline batteries,No,,,,,,alkaline batteries should be disposed of in regular refuse.
rechargeable batteries,No,Household Chemicals & Computer Recycling Facility,drop off,"1150 N. North Branch St., Chicago, IL 60608",,www.cityofchicago.org/hccrf,"hours are Tu 7-noon; Th 2-7pm, 1st Saturday of the month 8am - 3pm."
lead acid batteries,No,Household Chemicals & Computer Recycling Facility,drop off,"1150 N. North Branch St., Chicago, IL 60608",,www.cityofchicago.org/,"hours are Tu 7-noon; Th 2-7pm, 1st Saturday of the month 8am - 3pm."
bikes,No,Working Bikes,drop off,2434 S. Western Ave. Chicago IL 60608,1 (773) 847-5440,www.workingbikes.org,"hours are Wed & Thurs 12-7pm, Fri & Sat 12-5pm."
paperback books,Yes,,,,,,
hard cover books,No,Goodwill Salvation Army Reading Tree: Books for Charity,drop off,,,"www.goodwill.com, www.salvationarmy.com, www.readingtree.org",
bras,No,The Bra Recyclers,drop off or mail,"3317 S. Higley Rd, Ste 114-441, Gilbert, AZ 85297",1 (480) 988-2283,http://brarecycling.com,they should be in good condition.
brown paper bags,Yes,,,,,,
paper grocery bags,Yes,,,,,,
bubble wrap,No,,drop off,,,http://search.earth911.com/?what=bubble+wrap&where=60614,
building materials,No,The ReBuilding Exchange,drop off,"3335 W. 47th St., Chicago IL 60632",1 (773) 847-3761,www.exchange.org,you must call ahead of time.
candy wrappers,No,TerraCycle,mail,,,www.terracycle.com,"you must must join a ""brigade"" to get mailing details."
car batteries,No,,,,,http://search.earth911.com/?what=car+batteries&where=60614,
cardboard,Yes,,,,,,boxes should be flattened.
carpet,No,Carpet Recovery Shaw Carpet,drop off,,,"www.carpetrecovery.org, www.shawfloors.com","any carpet (500sq yards or more) with EcoWorx backing will be collected, transported and recycled for free, regardless if its being replaced with Shaw Carpet. Shaw Carpet will collect, transport and recycle any type of carpet (7500sq yards or more) if it is being replaced by a Shaw product, for free."
CDs,No,,,,,http://search.earth911.com/?what=compact+discs&where=60614,
cell phones,No,Household Chemicals & Computer Recycling Facility,drop off,"1150 N. North Branch St., Chicago IL 60642",,"http://search.earth911.com/?what=cell+phone&where=60614, www.cityofchicago.org","hours are Tu 7-noon; Th 2-7pm, 1st Saturday of the month 8am - 3 pm Check."
chip bags,No,TerraCycle,mail,,,www.terracycle.com,"you must join a ""brigade"" to get mailing details."
christmas lights,No,,,,,http://search.earth911.com/?what=christmas+lights&where=60614,
string lights,No,,,,,http://search.earth911.com/?what=string+lights&where=60614,
patio lights,No,,,,,http://search.earth911.com/?what=string+lights&where=60614,
